#DESCR#
#PARAMS#
Type:;ACF
#DATA#
3,000000;0,301758
3,500000;0,302706
4,000000;0,275008
4,500000;0,291513
5,000000;0,276435
6,000000;0,297493
7,000000;0,263156
8,000000;0,293794
9,000000;0,278143
10,000000;0,280712
12,000000;0,272175
14,000000;0,265109
16,000000;0,263449
18,000000;0,265441
20,000000;0,266667
24,000000;0,249000
28,000000;0,244518
32,000000;0,232850
36,000000;0,230431
40,000000;0,216413
48,000000;0,213508
56,000000;0,197654
64,000000;0,196125
72,000000;0,188631
80,000000;0,181217
96,000000;0,168719
112,000000;0,151939
128,000000;0,139121
144,000000;0,129782
160,000000;0,122588
192,000000;0,103333
224,000000;0,089602
256,000000;0,080813
288,000000;0,068417
320,000000;0,059727
384,000000;0,047247
448,000000;0,038692
512,000000;0,032192
576,000000;0,027428
640,000000;0,024874
768,000000;0,019171
896,000000;0,012989
1024,000000;0,010840
1152,000000;0,006575
1280,000000;0,006589
1536,000000;0,009558
1792,000000;0,010877
2048,000000;0,010726
2304,000000;0,007770
2560,000000;0,009888
3072,000000;0,008706
3584,000000;0,007401
4096,000000;0,010016
4608,000000;0,005771
5120,000000;0,004474
6144,000000;0,003943
7168,000000;0,006216
8192,000000;0,004624
9216,000000;0,004422
10240,000000;-0,000584
12288,000000;0,004979
14336,000000;0,000822
16384,000000;0,004029
18432,000000;0,000113
20480,000000;-0,000809
24576,000000;0,002363
28672,000000;-0,000615
32768,000000;0,002601
36864,000000;0,002743
40960,000000;-0,000502
49152,000000;-0,002025
57344,000000;-0,002725
65536,000000;-0,000878
73728,000000;-0,000152
#END#
