#DESCR#
#PARAMS#
Type:;ACF
#DATA#
30,000000;0,244006
35,000000;0,236863
40,000000;0,229379
45,000000;0,220982
50,000000;0,215391
60,000000;0,203078
70,000000;0,190495
80,000000;0,176705
90,000000;0,169257
100,000000;0,157341
120,000000;0,139661
140,000000;0,123862
160,000000;0,112232
180,000000;0,101434
200,000000;0,090748
240,000000;0,072073
280,000000;0,058913
320,000000;0,050075
360,000000;0,042979
400,000000;0,037445
480,000000;0,027240
560,000000;0,020096
640,000000;0,016496
720,000000;0,013694
800,000000;0,012288
960,000000;0,008740
1120,000000;0,007127
1280,000000;0,007124
1440,000000;0,006177
1600,000000;0,004563
1920,000000;0,002731
2240,000000;0,004682
2560,000000;0,005150
2880,000000;0,004416
3200,000000;0,002969
3840,000000;0,001197
4480,000000;0,002833
5120,000000;0,003462
5760,000000;0,002510
6400,000000;0,002843
7680,000000;0,003597
8960,000000;0,002795
10240,000000;0,002494
11520,000000;0,002930
12800,000000;0,002105
15360,000000;0,002086
17920,000000;0,001161
20480,000000;0,003504
23040,000000;0,002101
25600,000000;0,001784
30720,000000;0,002707
35840,000000;0,002713
40960,000000;0,003085
46080,000000;0,002207
51200,000000;0,002068
61440,000000;0,001597
71680,000000;0,002002
81920,000000;0,001393
92160,000000;0,001684
102400,000000;0,001371
122880,000000;0,001464
143360,000000;0,001428
163840,000000;0,001305
184320,000000;0,001540
204800,000000;0,001095
245760,000000;0,000992
286720,000000;0,000479
327680,000000;0,000473
368640,000000;0,000406
409600,000000;-0,000325
491520,000000;-0,000009
573440,000000;-0,000571
655360,000000;-0,001301
737280,000000;-0,001238
#END#
